test_id,category,difficulty,query,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,true_positives,false_positives,false_negatives,context_tokens,latency_ms
ecom_easy_001,returns,easy,Bagaimana cara return barang yang rusak?,policy_returns.md,policy_returns.md,1,1.0,1.0,1.0,1.0,policy_returns.md,None,None,76,65.65
ecom_easy_002,returns,easy,Berapa lama batas waktu return untuk produk elektronik?,policy_returns.md,policy_returns.md,1,1.0,1.0,1.0,1.0,policy_returns.md,None,None,122,26.24
ecom_easy_003,returns,easy,Apakah produk custom bisa di-return?,policy_returns.md,policy_returns.md,3,1.0,1.0,1.0,1.0,policy_returns.md,None,None,322,25.75
ecom_easy_004,returns,easy,Berapa lama refund cair ke rekening bank?,policy_returns.md,troubleshooting_guide.md; policy_returns.md; product_faq.md,4,0.333,1.0,0.5,0.5,policy_returns.md,product_faq.md; troubleshooting_guide.md,None,365,27.6
ecom_easy_005,contact,easy,Nomor customer service TokoPedia berapa?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,100,26.76
ecom_easy_006,contact,easy,Jam operasional live chat TokoPedia?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,97,25.1
ecom_easy_007,account,easy,Kenapa OTP tidak masuk ke HP saya?,troubleshooting_guide.md,troubleshooting_guide.md; product_faq.md,1,0.5,1.0,0.667,1.0,troubleshooting_guide.md,product_faq.md,None,111,24.2
ecom_easy_008,payment,easy,"Sudah bayar tapi status masih menunggu pembayaran, kenapa?",troubleshooting_guide.md,troubleshooting_guide.md; product_faq.md; policy_returns.md,1,0.333,1.0,0.5,1.0,troubleshooting_guide.md,product_faq.md; policy_returns.md,None,105,24.93
ecom_easy_009,shipping,easy,"Paket sudah 10 hari belum sampai, harus gimana?",troubleshooting_guide.md,troubleshooting_guide.md; policy_returns.md,1,0.5,1.0,0.667,1.0,troubleshooting_guide.md,policy_returns.md,None,125,24.74
ecom_easy_010,product,easy,Apa itu produk Pre-Order?,product_faq.md,product_faq.md; policy_returns.md,1,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,None,121,26.65
